epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.994,1.33569,1.06109,1.53462,0.62027,0.52567,0.49766,0.20034,2.17175,1.80396,2.56047,0.000656085,0.000656085,0.000656085
2,115.887,1.35611,1.08307,1.55341,0.64596,0.39853,0.45088,0.19638,2.29298,2.29988,2.58922,0.00130966,0.00130966,0.00130966
3,169.217,1.36805,1.11925,1.55918,0.55034,0.42791,0.39736,0.16412,2.28996,2.10543,2.57121,0.00195003,0.00195003,0.00195003
4,223.646,1.37809,1.14105,1.56873,0.48949,0.38213,0.36535,0.16084,2.15777,2.00627,2.32891,0.0019406,0.0019406,0.0019406
5,280.266,1.39068,1.10336,1.56276,0.52637,0.52986,0.47081,0.2209,2.08266,1.98971,2.3651,0.0019208,0.0019208,0.0019208
6,334.085,1.36045,1.03497,1.5449,0.56655,0.52567,0.5185,0.22246,2.13388,2.138,2.30945,0.001901,0.001901,0.001901
7,391.066,1.39068,1.09787,1.56052,0.56359,0.52731,0.48052,0.21572,2.23829,2.00213,2.57889,0.0018812,0.0018812,0.0018812
8,443.928,1.37757,1.04852,1.55178,0.64025,0.51347,0.53477,0.25801,2.14461,1.79902,2.43866,0.0018614,0.0018614,0.0018614
9,497.884,1.29657,1.02345,1.50048,0.65063,0.49177,0.48317,0.20549,2.14166,1.8162,2.37455,0.0018416,0.0018416,0.0018416
10,550.151,1.31764,1.00732,1.49982,0.59283,0.43431,0.42593,0.19369,2.28674,2.2715,2.51588,0.0018218,0.0018218,0.0018218
11,605.229,1.30499,0.9862,1.49973,0.64279,0.50597,0.5252,0.2383,2.13783,1.67808,2.34482,0.001802,0.001802,0.001802
12,659.422,1.2906,0.93812,1.49957,0.65902,0.58435,0.54695,0.26711,2.01046,1.63122,2.27082,0.0017822,0.0017822,0.0017822
13,714.504,1.27267,0.93474,1.46558,0.64688,0.47922,0.50388,0.20942,2.21525,1.80005,2.56626,0.0017624,0.0017624,0.0017624
14,768.271,1.2618,0.91285,1.46798,0.64688,0.50122,0.49842,0.22651,2.12339,1.72391,2.4638,0.0017426,0.0017426,0.0017426
15,820.212,1.25797,0.89753,1.46441,0.65623,0.60147,0.62803,0.31574,1.97725,1.34755,2.08838,0.0017228,0.0017228,0.0017228
